Topic,Count,Name,Representation,Representative_Docs,TopTerms
0,275,0_movie_watching_girl_sad,"['movie', 'watching', 'girl', 'sad', 'season', 'watch', 'love', 'seen', 'going', 'missed']","['watching the original sabrina the teenage witch movie. so different from the series but so rad', 'watching a gossip girl', ""is watching 'Wall Street', and realizing that since it is on a movie channel she won`t get a potty break""]","movie, watching, girl, sad, season, watch, love, seen"
1,212,1_lunch_eat_dinner_food,"['lunch', 'eat', 'dinner', 'food', 'eating', 'ate', 'sounds', 'im', 'breakfast', 'enjoy']","['I forgot about it and I already ate lunch  so I guess I`m not going.', 'ninja sushi for lunch but dominicks was out of sour gummy worms', 'yum - mother`s day lunch at The Food Business in Burnside was delicious! such a gorgeous day']","lunch, eat, dinner, food, eating, ate, sounds, im"
2,180,2_twitter_tweet_world_sending,"['twitter', 'tweet', 'world', 'sending', 'goodnight', 'bit', 'phone', 'change', 'follow', 'sorry']","['Twitter criado.', 'still a newbie in twitter!', '_ that`s why twitter rocks!']","twitter, tweet, world, sending, goodnight, bit, phone, change"
3,179,3_mothers_mothers day_happy mothers_happy,"['mothers', 'mothers day', 'happy mothers', 'happy', 'day', 'mom', 'mommy', 'baby', 'card', 'family']","['Happy Mothers Day to all the Mommies!', 'ay uuuu  happy mothers day', 'HAPPY MOTHERS DAY TO ALL THE MOMS OUT THERE !!!']","mothers, mothers day, happy mothers, happy, day, mom, mommy, baby"
4,153,4_sun_hot_weather_today,"['sun', 'hot', 'weather', 'today', 'gonna', 'outside', 'got', 'yr', 'warm', 'wish']","['Where is the sun!!', 'sun - where are you?', 'it was actually so hot today ..the sun has got his hat on . every one has got a tan except me']","sun, hot, weather, today, gonna, outside, got, yr"
5,153,5_school_bored_english_final,"['school', 'bored', 'english', 'final', 'summer', 'week', 'college', 'finished', 'ouch', 'life']","['no school today! that`s greeeeeat!', 'its all over! no more high school', 'here again in school bored wanting  2 go home']","school, bored, english, final, summer, week, college, finished"
6,124,6_song_listening_music_singing,"['song', 'listening', 'music', 'singing', 'love', 'check', 'rock', 'new', 'good', 'listen']","['why don`t you have that song you gave me that song', ""I`m exhausted  new song 'one day' on myspace check out http://www.myspace.com/tannajoy"", 'i love that song']","song, listening, music, singing, love, check, rock, new"
7,116,7_sleep_bed_tired_going bed,"['sleep', 'bed', 'tired', 'going bed', 'early', 'woke', 'goodnight', 'hours', 'night', 'sleepy']","['I can`t sleep... And now????', 'i can`t sleep.  amp.', 'nomatter how much i sleep am still tired']","sleep, bed, tired, going bed, early, woke, goodnight, hours"
8,111,8_sucks_know_sorry_yes,"['sucks', 'know', 'sorry', 'yes', 'ok', 'thats', 'yeah', 'suppose', 'oh', 'knew']","['no way! **** that sucks B!  are you ok?', 'Oh noooooo!!!      I`m so sorry!!  That sucks hard!', 'i know. it sucks']","sucks, know, sorry, yes, ok, thats, yeah, suppose"
9,89,9_live_come_looking forward_uk,"['live', 'come', 'looking forward', 'uk', 'seeing', 'coming', 'soon', 'forward', 'san', 'ya']","['Looking forward to your gig in Ireland!!!  See ya there!', 'cool. looking forward. san francisco was really nice. didn`t make it out to napa though  maybe next time.', 'looking forward to seeing the relatives... maybe home from Toronto soon']","live, come, looking forward, uk, seeing, coming, soon, forward"
10,83,10_computer_slow_laptop_screen,"['computer', 'slow', 'laptop', 'screen', 'using', 'google', 'site', 'running', 'old', 'light']","['Why did sound input for my computer stop working?  It`s not the mic or jack (USB webcam mic doesn`t work either) Checked input controls.', 'took my computer in for a new dvd drive & screen wouldn`t come back on  Had to order new computer & wait...', 'UGGG my computer is running SOOO SLOW today, it`s driving me batty! Guess its time to remove files and defrag AGAIN UGG want a MAC']","computer, slow, laptop, screen, using, google, site, running"
11,67,11_sick_feeling_feels_feel,"['sick', 'feeling', 'feels', 'feel', 'cold', 'kids', 'feels like', 'past', 'maybe', 'think im']","['I feel sick. And I have a solo tonight at my vocal jazz concert.  great', 'feels very very sick  hmph.', 'nooo i cant be sick...not now! im about to go see my new nephew']","sick, feeling, feels, feel, cold, kids, feels like, past"
12,63,12_dog_poor_years_scared,"['dog', 'poor', 'years', 'scared', 'died', 'ago', 'old', 'year old', 'ran', 'dead']","['My dog died today. We had her for 11 years. I miss her so much.', 'have to put my dog down tomorrow.', 'http://twitpic.com/41dbn - :o I See Your Dog..  Bella..?']","dog, poor, years, scared, died, ago, old, year old"
13,56,13_happy_congrats_old_nite,"['happy', 'congrats', 'old', 'nite', 'tell', 'david', 'thank', 'today', 'took', 'yay']","['Happy Birthday, David', 'HAPPY JUDDDAY', 'happy birthday']","happy, congrats, old, nite, tell, david, thank, today"
14,56,14_pic_pictures_help_picture,"['pic', 'pictures', 'help', 'picture', 'hey', 'pics', 'screen', 'kind', 'love', 'look']","['Still no pic, very sad', 'Fab new pic by the way', 'http://twitpic.com/4we4j - Speed lessons on the main screens on center court! I had to take this pic']","pic, pictures, help, picture, hey, pics, screen, kind"
15,51,15_follow_following_people_thank,"['follow', 'following', 'people', 'thank', 'lot', 'darn', 'hates', 'friday', 'thanks', 'needs']","['i follow him now', 'Follow me please, so I can DM you...', 'can you follow me so I can DM you?']","follow, following, people, thank, lot, darn, hates, friday"
16,49,16_phone_iphone_new_huh,"['phone', 'iphone', 'new', 'huh', 'die', 'lost', 'screen', 'app', 'guess', 'google']","['Lost a battle with the couch....phone has been blowing up', 'Almost lost my phone.', 'My phone is so stubborn!! You`d think it had my genes or something!!']","phone, iphone, new, huh, die, lost, screen, app"
17,48,17_book_read_reading_finished,"['book', 'read', 'reading', 'finished', 'just finished', 'words', 'special', 'write', 'run', 'need']","['MIT bookstore has best book selection, but it`s the one bookstore I have no coupons or discounts for', 'wellity! i think ima gonna clean my room :| ****. i need to read a good book. sense and sensibility here we come! BEAT THE LILY', 'Lol read me like a book']","book, read, reading, finished, just finished, words, special, write"
18,47,18_special_hehe_makes_eating,"['special', 'hehe', 'makes', 'eating', 'talk', 'say', 'gunna', 'mr', 'holy', 'angry']","['I just wanted to say, that you have the best screen name ever. That is all.', 'Halla Miss Haloom  .. how are you dear? am doing fine so far but .. eeem worrying about rationale project.. Allah eyaseer inshallah', 'lol you saw where I was going with that...both of my last names are to common nothing special on me']","special, hehe, makes, eating, talk, say, gunna, mr"
19,47,19_work_busy_work today_minutes,"['work', 'busy', 'work today', 'minutes', 'half', 'hours', 'working', 'slow', 'long', 'today']","['Back to work I go....', 'Work out. Now actual work', 'back to work.. with no distractions..']","work, busy, work today, minutes, half, hours, working, slow"
20,46,20_driving_leaving_leave_car,"['driving', 'leaving', 'leave', 'car', 'pay', 'lot', 'easy', 'hoping', 'hour', 'dont know']","['aha yeah  all else fails just push  yeah we are dont know what time were leaving yet though ****', 'Sending angry vibes to the individual in a blue vehicle who hit my car in the QFC parking lot on Broad and failed to leave a note', 'hahaha. I`m driving, so I leave roundabouts when I wake up tomorrow. Arrive proximately 5 hrs from then.  See ya tmw!']","driving, leaving, leave, car, pay, lot, easy, hoping"
21,45,21_miss_missed_aww_missing,"['miss', 'missed', 'aww', 'missing', 'gonna miss', 'left', 'leaving', 'dont want', 'stay', 'summer']","['We`ll miss you  #Sixx?', 'we always miss each other, don`t we?', 'we miss you']","miss, missed, aww, missing, gonna miss, left, leaving, dont want"
22,44,22_friday_weekend_work_working,"['friday', 'weekend', 'work', 'working', 'town', 'week', 'tomorrow', 'monday', 'work tomorrow', 'ugh']","['Friday Night and working', 'It`s Friday... But its only Friday morning. Ugh.', 'It`s  last Friday today']","friday, weekend, work, working, town, week, tomorrow, monday"
23,42,23_money_account_looks like_looks,"['money', 'account', 'looks like', 'looks', 'gone', 'totally', 'like', 'ha', 'crazy', 'problem']","['Crazy debt issue. Maybe I had messed up when closing my old account? Not really sure but looks like I may have to cover it - aaargh...', 'wondering where all the money i earnt this financial year has gone... i can account for like 3 grand but wheres the rest', 'looks like  is hiding money in an offshore bank account on behalf of last.fm   http://bit.ly/CeT0s']","money, account, looks like, looks, gone, totally, like, ha"
24,40,24_headache_head_worst_bad,"['headache', 'head', 'worst', 'bad', 'having', 'eyes', 'pain', 'hurt', 'bed', 'week']","['I overslept  headache', 'Have a slight headache', 'have a biiig headache.']","headache, head, worst, bad, having, eyes, pain, hurt"
25,37,25_messed_black_bought_hair,"['messed', 'black', 'bought', 'hair', 'want', 'did', 'didnt', 'today', 'wish', 'lol']","['My logic to getting a short prom dress? Last year it was so freaking hot I was dying... Look at the weather...  hahah just my luck', 'Looking to sketch final catwalk outfit, i really REALLY want my long pink hair back. i also want to dye my models hair pink not allowed', 'Hates bleech!! Messed up my black outfit']","messed, black, bought, hair, want, did, didnt, today"
26,35,26_broke_hurts_hurt_fell,"['broke', 'hurts', 'hurt', 'fell', 'file', 'handle', 'fall', 'nah', 'just got', 'foot']","['I had some work to do, but my wrist hurts too much to do any of it.', 'my nail broke  I haaaaaaaaate', 'think yourself lucky!  I also broke  all my fingers at school when a window sash broke with my fingers like pancakes on the sill']","broke, hurts, hurt, fell, file, handle, fall, nah"
27,34,27_drink_mix_remember_red,"['drink', 'mix', 'remember', 'red', 'enjoying', 'old', 'used', 'like', 'dinner', 'home']","['Im home where i am about 2 drink alone.', ""ew, i used to get 'suicides' in high school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too."", ""ew, i used to get 'suicides' in mid. school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too.""]","drink, mix, remember, red, enjoying, old, used, like"
28,33,28_day_day today_better_hope,"['day', 'day today', 'better', 'hope', 'good', 'days', 'today', 'having', 'great', 'week']","['anticipating a tough day ahead', 'It wasn`t a good day ..', 'hommmmmme! good day']","day, day today, better, hope, good, days, today, having"
29,30,29_morning_good morning_breakfast_good,"['morning', 'good morning', 'breakfast', 'good', 'hows', 'good night', 'night', 'far', 'sun', 'hot']","['Good Morning!', 'Good morning.', 'Peace! Good morning']","morning, good morning, breakfast, good, hows, good night, night, far"
30,30,30_party_fun_just got_play,"['party', 'fun', 'just got', 'play', 'ya', 'girl', 'got', 'block', 'ball', 'away']","['going to the lumberjack party', 'off to my cousins confirmation + confirmation party', 'Alright! Party was a success! We all had fun, & now it`s over']","party, fun, just got, play, ya, girl, got, block"
31,28,31_expensive_ones_buy_month,"['expensive', 'ones', 'buy', 'month', 'used', 'money', 'place', 'new', 'store', 'sold']","['BUT THEY ARE EXPENSIVE.', 'why are plane tickets so expensive', 'Why so expensive']","expensive, ones, buy, month, used, money, place, new"
32,28,32_tour_hi_june_shows,"['tour', 'hi', 'june', 'shows', 'seeing', 'dad', 'till', 'mean', 'missed', 'bc']","['I can`t believe tour is almost over', 'helllllloooooooooooo tom, gig tonight? sorry im not sure when your shows are over there! miss you in the UK  HI HI HI HI HI ****', 'yeah that`s trueee  i can`t wait till the tour dvd comes out, that tour was so epic (: and the backstage material is hilarious']","tour, hi, june, shows, seeing, dad, till, mean"
33,28,33_feel_sad_mood_right,"['feel', 'sad', 'mood', 'right', 'feeling', 'sooo', 'hard', 'happening', 'block', 'smile']","['I always feel guilty about it', 'That is EXACTLY how I feel right now.', 'i feel extremely depressed right now.']","feel, sad, mood, right, feeling, sooo, hard, happening"
34,27,34_isnt_red_ouch_hurts,"['isnt', 'red', 'ouch', 'hurts', 'does', 'bad', 'sun', 'oh', 'leg', 'look']","['_M Melted maybe 2 square inches of skin. Ran it under cold water for a min or two and then iced until the ice melted. Now, hurts', 'lolll, i cba to get the sun stuff and i forgot that the back of my leg wouldnt gwt tanned lol. it hurts sooo bad right now', 'i no its so warm isnt it!! :O My arms are sore  Bad times. My face is a little red too :S']","isnt, red, ouch, hurts, does, bad, sun, oh"
35,26,35_weekend_amazing_great time_night,"['weekend', 'amazing', 'great time', 'night', 'went', 'great', 'fun', 'got home', 'girls', 'kids']","['back at Wingman after a great weekend', 'it was AMAZING!!! Had the best time  hope you had a good weekend too.', 'finally got home and get to sleep! had a great time with  and friends!']","weekend, amazing, great time, night, went, great, fun, got home"
36,23,36_star_watch_just saw_sunday,"['star', 'watch', 'just saw', 'sunday', 'start', 'saw', 'movie', 'going', 'nah', 'join']","['I need to watch Star Trek', 'oh that`s Star Trek  going on the 7th already. Woo!', 'going out to see star trek   be back in a while']","star, watch, just saw, sunday, start, saw, movie, going"
37,22,37_game_final_watching_tonight,"['game', 'final', 'watching', 'tonight', 'week', 'lost', 'live', 'handle', 'team', 'day just']","['i hope so, recorded the pit/was game to find out it didnt record... lucky it wasn`t the leafs, i woulda lost it by now', 'Repeat final seconds of Game 3 Dal-Den please! **** THOSE OFFICIALS. :| Anyway, happy mothers day.', 'Watching the Broncos vs Chiefs 1994, Montana vs Elway on NFL Network.  I still have nightmares about this game   FU KC!']","game, final, watching, tonight, week, lost, live, handle"
38,21,38_thanks_youre welcome_thank_welcome,"['thanks', 'youre welcome', 'thank', 'welcome', 'youre', 'needed', 'link', 'follow', 'aww', 'little']","['Thanks `Mckenzie`', 'thanks  ****', '_beckett Thanks so much !']","thanks, youre welcome, thank, welcome, youre, needed, link, follow"
39,20,39_star_happy_day_apparently,"['star', 'happy', 'day', 'apparently', 'day today', 'shame', 'btw', 'started', 'uk', 'enjoy']","['Happy Star Wars Day everyone! May the 4th be with you all  ****', 'Happy Star Wars Day!!! May The 4th Be With You!', 'Happy star wars day everyone']","star, happy, day, apparently, day today, shame, btw, started"
40,19,40_funny_thanks_hahaha_glad,"['funny', 'thanks', 'hahaha', 'glad', 'hard', 'ball', 'haha', 'agree', 'hope great', 'thing']","['Not that funny! I wont jump', 'Thanks! Funny cause it`s true!', 'not funny']","funny, thanks, hahaha, glad, hard, ball, haha, agree"
41,19,41_heart_love_mad_ask,"['heart', 'love', 'mad', 'ask', 'isnt', 'guess', 'file', 'deep', 'little', 'just got']","['my heart just broke a little ... and by a little i mean a lot', ""I only think of you as breaking my heart, I`m trying to keep it together but I`m falling apart.'"", 'Why do you hurt me? Does it bring you joy to see me cry? You know I love you more then anything and yet u break my heart everyday!']","heart, love, mad, ask, isnt, guess, file, deep"
42,18,42_aww_sweet_loves_awww,"['aww', 'sweet', 'loves', 'awww', 'love', 'cute', 'thanks', 'thank', 'really really', 'power']","['Aww how sweet', 'aww  you loooove me', 'aww we love you too']","aww, sweet, loves, awww, love, cute, thanks, thank"
43,17,43_finished_far_far away_awful,"['finished', 'far', 'far away', 'awful', 'afternoon', 'stand', 'giving', 'im really', 'share', 'absolutely']","['Stuck in awful traffic in the way to the wedding. Ceremony is supposed to start now. Ughhh.', 'RE: So, finally finished catching up with your blog - no mention of any wedding details...  Do tell, at some point.  http://disq.us/11w', 'Totally  plain and simple.. i hate all thoes bridezilla shows.. if i was the groom i`d be running far far away!']","finished, far, far away, awful, afternoon, stand, giving, im really"
44,17,44_big_public_power_jonas,"['big', 'public', 'power', 'jonas', 'huh', 'course', 'perfect', 'dont know', 'ill', 'okay']","['you`re a big man for embracing your tears', 'All is well..That ends well! < unless of course well times the power of three = the sum of ends if X being All', ""*hugs* listening to EBTG 'Each & Every One' perfect for public hol Monday morn with cuppa T""]","big, public, power, jonas, huh, course, perfect, dont know"
45,17,45_sad_family_im sad_died,"['sad', 'family', 'im sad', 'died', 'sam', 'contact', 'im', 'really really', 'going', 'ppl']","['If someone in the family died you would of heard about it. Duhhhhhh. . .', 'What!?!?! I can`t believe I had to find out this way...don`t you ppl contact family first??!!? I`m so sad!  Who was it?!?1', 'I`m SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i`m alone on maui']","sad, family, im sad, died, sam, contact, im, really really"
46,17,46_youtube_video_says_watch,"['youtube', 'video', 'says', 'watch', 'article', 'just like', 'look', 'completely', 'awesome', 'line']","['It saddens me, you`re youtube has changed. It`s just like every other youtube kid, you used to be different', '_carter  Ey boy!! I canï¿½t see the video because youtube says me :The vid is private. Why?  I want to see it. Besos grandes guapo!!', 'is upload video geje di youtube  http://plurk.com/p/rqaoe']","youtube, video, says, watch, article, just like, look, completely"
47,16,47_pain_hurts_sore_hurt,"['pain', 'hurts', 'sore', 'hurt', 'fall', 'walk', 'make', 'loves', 'says', 'does']","['omg i am in so much pain  ouchies', 'fed up of pain now', 'and now they are one. To become a bigger pain.']","pain, hurts, sore, hurt, fall, walk, make, loves"
48,16,48_message_text_nearly_page,"['message', 'text', 'nearly', 'page', 'sending', 'happened', 'im bored', 'app', 'pictures', 'started']","['somehow i cant reply to your message LOL and yes i know  Thank youuu', 'It didn`t start as a long message ... It just got longer when I wrote it', 'soz i neva saw this message till now...if u add then delete me i cant see any messages uve left on my page']","message, text, nearly, page, sending, happened, im bored, app"
49,15,49_link_means_working_cause,"['link', 'means', 'working', 'cause', 'doesnt', 'article', 'profile', 'checked', 'min', 'worked']","['heyy have you deleted your myspace account  cause the link in the side bar wont work it says its been deleted wb ily ****', 'The link doesn`t work', 'Link didn`t work']","link, means, working, cause, doesnt, article, profile, checked"
50,15,50_coffee_id_happening_machine,"['coffee', 'id', 'happening', 'machine', 'local', 'stand', 'paper', 'ran', 'reading', 'didnt']","['Coffee didn`t turn out good tiday but excellent!', 'I`m in the Starbucks with a cup of coffee   http://yfrog.com/ehhmyj', 'more coffee']","coffee, id, happening, machine, local, stand, paper, ran"
51,14,51_god_problems_got home_theres,"['god', 'problems', 'got home', 'theres', 'big', 'just got', 'holy', 'agree', 'thank god', 'god bless']","['finds the hardest thing about being a Christian is to put God as first in his life.  I need help..', 'just got home! LET US ALL BE CONNECTED WITH GOD, CONSTANTLY!', 'Instead of telling God how big my problems are, I like telling my problems how big God is!  http://bit.ly/5ofzj']","god, problems, got home, theres, big, just got, holy, agree"
52,13,52_hair_short_money_like im,"['hair', 'short', 'money', 'like im', 'long', 'decided', 'hates', 'boyfriend', 'liked', 'red']","['Oh my gosh! My hair is so short! I miss my long hair!', ""mmmmm my hair smells guuud.  the wonders of 'pantien' ;D"", 'hair, grow back!']","hair, short, money, like im, long, decided, hates, boyfriend"
53,13,53_girl_ur_figure_foot,"['girl', 'ur', 'figure', 'foot', 'buying', 'ohh', 'relax', 'brought', 'ice', 'just saw']","['sweetie pie, buttercup, married ppl share hehehehehe.....this includes ur shoe collection  I am trading UP!', 'I was feeling guilty about buying a luxurious pair of shoes yesterday until my house mate just saw them and got over excited', 'Glad TS brought it! Sorry about ur foot shorty...ur gonna have to relax wit the heels']","girl, ur, figure, foot, buying, ohh, relax, brought"
54,13,54_busy_running_run_luck,"['busy', 'running', 'run', 'luck', 'ready', 'tomorrow', 'day work', 'miles', 'fun day', 'hanging']","[""Great long-weekend so far   Going for a run now - no Judo tonight  Then off to Blue Water for some 'Retail Therapy'"", 'ready for a very busy, FUN day tomorrow! gotta keep myself busy when my lover is gone', 'i am on aim getting ready to go to bed. running a 5k tommorow for mothers day. wish me luck!']","busy, running, run, luck, ready, tomorrow, day work, miles"
55,12,55_hi_hello_say_meet,"['hi', 'hello', 'say', 'meet', 'welcome', 'everyday', 'nice', 'new', 'everybody', 'cause']","['gl and say hi for me!', 'say hi to Kimba for me', 'Hello to all my new followers..    say hi @ me so i can say its nice to meet you too!']","hi, hello, say, meet, welcome, everyday, nice, new"
56,12,56_writing_word_write_finished,"['writing', 'word', 'write', 'finished', 'forward', 'ur', 'awe', 'feels like', '30', '100']","['Writing my Music Lit final paper on Mozart`s Eine kleine nashtmusik. Mom is giving me a hand...and I`m actually having a GREAT time', 'Writing and researching. Tired of being foolish, so I`m educating myself & moving forward. Gonna marry a white boy they do you right!!!', 'I have assignment due by midnight in professional writing class & I really wish I was already done with it Luv writing thought Id like it']","writing, word, write, finished, forward, ur, awe, feels like"
57,12,57_doing_arrived_box_enjoyed,"['doing', 'arrived', 'box', 'enjoyed', 'hanging', 'machine', 'officially', 'started', 'ive', 'room']","['Just home from work!!!!! Need to continue packing. Raerae is gone for the weekend.   Mya and I are hanging out', 'I will  I enjoyed doing the peg bags, I`ve adapted the design for a tote bag  Bit cuter than I normally do', 'Computer is packed away. There goes my life. Right into a cardboard box.']","doing, arrived, box, enjoyed, hanging, machine, officially, started"
58,11,58_idea_yes_ahh_rock,"['idea', 'yes', 'ahh', 'rock', 'course', 'thing', 'sure', 'haha', 'great', 'lol']","['that would be an idea  haha ****', 'such a great idea!', 'We should so go for the Cobra-Cam idea']","idea, yes, ahh, rock, course, thing, sure, haha"
59,10,59_said_public_bathroom_stuck,"['said', 'public', 'bathroom', 'stuck', 'boo', 'im gonna', 'kinda', 'real', 'tell', 'mean']","['You said you effed up your nose!', 'You`re a real ****. I`m gonna slap you in public.', 'Thxx!! I was in the bathroom when you said it..']","said, public, bathroom, stuck, boo, im gonna, kinda, real"
60,10,60_news_hold_youve_open,"['news', 'hold', 'youve', 'open', 'got', 'gone', 'thing', 'ive', 'dont', 'just']","['Can I get some gd news for gods sake', 'No news yet', 'Got the news']","news, hold, youve, open, got, gone, thing, ive"
